Frequency,VSWR,s1,S21(db),fg,hjgfty,tyjt,fdghf,trh
14507100000.00,-39.90,54.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
14632075000.00,-39.70,58.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
14757050000.00,-39.40,62.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
14882025000.00,-39.00,65.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
15007000000.00,-38.70,67.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
15131975000.00,-38.30,70.20,-200.00,45.00,-200.00,45.00,-200.00,45.00
15256950000.00,-37.80,71.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
15381925000.00,-37.50,71.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
15506900000.00,-37.20,72.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
15631875000.00,-36.70,73.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
15756850000.00,-36.30,73.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
15881825000.00,-36.00,74.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
16006800000.00,-35.70,75.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
16131775000.00,-35.40,75.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
16256750000.00,-35.20,75.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
16381725000.00,-34.90,75.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
16506700000.00,-34.70,74.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
16631675000.00,-34.50,74.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
16756650000.00,-34.30,74.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
16881625000.00,-34.00,73.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
17006600000.00,-33.70,73.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
17131575000.00,-33.40,73.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
17256550000.00,-33.30,73.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
17381525000.00,-33.10,73.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
17506500000.00,-32.80,73.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
17631475000.00,-32.60,73.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
17756450000.00,-32.40,73.20,-200.00,45.00,-200.00,45.00,-200.00,45.00
17881425000.00,-32.10,72.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
18006400000.00,-31.80,71.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
18131375000.00,-31.50,71.10,-200.00,45.00,-200.00,45.00,-200.00,45.00
18256350000.00,-31.20,70.20,-200.00,45.00,-200.00,45.00,-200.00,45.00
18381325000.00,-30.90,68.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
18506300000.00,-30.70,67.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
18631275000.00,-30.40,67.20,-200.00,45.00,-200.00,45.00,-200.00,45.00
18756250000.00,-30.10,66.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
18881225000.00,-29.90,64.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
19006200000.00,-29.70,63.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
19131175000.00,-29.40,62.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
19256150000.00,-29.20,60.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
19381125000.00,-29.00,59.10,-200.00,45.00,-200.00,45.00,-200.00,45.00
19506100000.00,-28.90,57.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
19631075000.00,-28.70,55.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
19756050000.00,-28.60,52.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
19881025000.00,-28.40,50.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
20006000000.00,-28.30,48.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
20130975000.00,-28.20,46.10,-200.00,45.00,-200.00,45.00,-200.00,45.00
20255950000.00,-28.10,43.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
20380925000.00,-28.00,41.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
20505900000.00,-28.00,39.10,-200.00,45.00,-200.00,45.00,-200.00,45.00
20630875000.00,-28.00,36.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
20755850000.00,-27.90,34.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
20880825000.00,-28.00,31.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
21005800000.00,-28.10,28.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
21130775000.00,-28.10,26.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
21255750000.00,-28.30,23.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
21380725000.00,-28.40,20.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
21505700000.00,-28.60,18.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
21630675000.00,-28.90,15.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
21755650000.00,-29.10,12.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
21880625000.00,-29.40,9.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
22005600000.00,-29.80,6.83,-200.00,45.00,-200.00,45.00,-200.00,45.00
22130575000.00,-30.20,3.92,-200.00,45.00,-200.00,45.00,-200.00,45.00
22255550000.00,-30.60,0.54,-200.00,45.00,-200.00,45.00,-200.00,45.00
22380525000.00,-31.10,-3.02,-200.00,45.00,-200.00,45.00,-200.00,45.00
22505500000.00,-31.80,-6.24,-200.00,45.00,-200.00,45.00,-200.00,45.00
22630475000.00,-32.50,-9.77,-200.00,45.00,-200.00,45.00,-200.00,45.00
22755450000.00,-33.20,-13.10,-200.00,45.00,-200.00,45.00,-200.00,45.00
22880425000.00,-33.90,-15.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
23005400000.00,-34.90,-18.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
23130375000.00,-35.80,-22.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
23255350000.00,-37.10,-26.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
23380325000.00,-39.10,-30.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
23505300000.00,-41.90,-34.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
23630275000.00,-45.20,-49.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
23755250000.00,-48.40,-80.10,-200.00,45.00,-200.00,45.00,-200.00,45.00
23880225000.00,-50.10,-117.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
24005200000.00,-49.40,-151.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
24130175000.00,-47.40,172.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
24255150000.00,-44.50,146.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
24380125000.00,-41.00,135.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
24505100000.00,-38.20,131.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
24630075000.00,-36.50,125.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
24755050000.00,-35.20,122.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
24880025000.00,-33.60,116.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
25005000000.00,-32.50,114.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
25129975000.00,-31.60,111.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
25254950000.00,-31.00,107.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
25379925000.00,-30.40,103.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
25504900000.00,-29.80,101.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
25629875000.00,-29.20,97.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
25754850000.00,-28.70,93.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
25879825000.00,-28.10,89.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
26004800000.00,-27.60,85.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
26129775000.00,-27.30,81.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
26254750000.00,-26.90,78.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
26379725000.00,-26.60,74.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
26504700000.00,-26.40,70.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
26629675000.00,-26.30,68.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
26754650000.00,-25.90,65.20,-200.00,45.00,-200.00,45.00,-200.00,45.00
26879625000.00,-25.80,61.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
27004600000.00,-25.70,58.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
27129575000.00,-25.60,55.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
27254550000.00,-25.50,52.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
27379525000.00,-25.40,48.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
27504500000.00,-25.30,45.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
27629475000.00,-25.30,42.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
27754450000.00,-25.30,40.10,-200.00,45.00,-200.00,45.00,-200.00,45.00
27879425000.00,-25.50,37.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
28004400000.00,-25.60,34.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
28129375000.00,-25.70,32.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
28254350000.00,-25.70,28.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
28379325000.00,-25.80,25.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
28504300000.00,-26.00,22.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
28629275000.00,-26.10,19.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
28754250000.00,-26.30,16.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
28879225000.00,-26.50,14.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
29004200000.00,-26.70,12.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
29129175000.00,-26.90,10.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
29254150000.00,-27.20,8.59,-200.00,45.00,-200.00,45.00,-200.00,45.00
29379125000.00,-27.50,6.66,-200.00,45.00,-200.00,45.00,-200.00,45.00
29504100000.00,-27.80,5.15,-200.00,45.00,-200.00,45.00,-200.00,45.00
29629075000.00,-28.10,3.47,-200.00,45.00,-200.00,45.00,-200.00,45.00
29754050000.00,-28.40,2.02,-200.00,45.00,-200.00,45.00,-200.00,45.00
29879025000.00,-28.70,0.67,-200.00,45.00,-200.00,45.00,-200.00,45.00
30004000000.00,-29.10,0.75,-200.00,45.00,-200.00,45.00,-200.00,45.00
30128975000.00,-29.30,-0.34,-200.00,45.00,-200.00,45.00,-200.00,45.00
30253950000.00,-29.70,-0.29,-200.00,45.00,-200.00,45.00,-200.00,45.00
30378925000.00,-29.90,-0.51,-200.00,45.00,-200.00,45.00,-200.00,45.00
30503900000.00,-30.20,-0.06,-200.00,45.00,-200.00,45.00,-200.00,45.00
30628875000.00,-30.50,-0.53,-200.00,45.00,-200.00,45.00,-200.00,45.00
30753850000.00,-30.70,-0.12,-200.00,45.00,-200.00,45.00,-200.00,45.00
30878825000.00,-31.00,0.36,-200.00,45.00,-200.00,45.00,-200.00,45.00
31003800000.00,-31.30,2.51,-200.00,45.00,-200.00,45.00,-200.00,45.00
31128775000.00,-31.60,3.59,-200.00,45.00,-200.00,45.00,-200.00,45.00
31253750000.00,-31.60,3.72,-200.00,45.00,-200.00,45.00,-200.00,45.00
31378725000.00,-31.60,4.45,-200.00,45.00,-200.00,45.00,-200.00,45.00
31503700000.00,-31.60,4.14,-200.00,45.00,-200.00,45.00,-200.00,45.00
31628675000.00,-31.60,2.81,-200.00,45.00,-200.00,45.00,-200.00,45.00
31753650000.00,-31.40,2.96,-200.00,45.00,-200.00,45.00,-200.00,45.00
31878625000.00,-31.30,4.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
32003600000.00,-31.30,3.67,-200.00,45.00,-200.00,45.00,-200.00,45.00
32128575000.00,-31.30,3.65,-200.00,45.00,-200.00,45.00,-200.00,45.00
32253550000.00,-31.10,3.07,-200.00,45.00,-200.00,45.00,-200.00,45.00
32378525000.00,-31.10,0.83,-200.00,45.00,-200.00,45.00,-200.00,45.00
32503500000.00,-31.20,-1.59,-200.00,45.00,-200.00,45.00,-200.00,45.00
32628475000.00,-31.10,-3.29,-200.00,45.00,-200.00,45.00,-200.00,45.00
32753450000.00,-31.20,-5.83,-200.00,45.00,-200.00,45.00,-200.00,45.00
32878425000.00,-31.40,-8.69,-200.00,45.00,-200.00,45.00,-200.00,45.00
33003400000.00,-31.60,-10.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
33128375000.00,-31.90,-13.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
33253350000.00,-32.20,-18.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
33378325000.00,-32.80,-21.10,-200.00,45.00,-200.00,45.00,-200.00,45.00
33503300000.00,-33.30,-25.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
33628275000.00,-34.00,-32.20,-200.00,45.00,-200.00,45.00,-200.00,45.00
33753250000.00,-34.70,-37.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
33878225000.00,-35.60,-40.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
34003200000.00,-36.10,-48.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
34128175000.00,-36.90,-55.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
34253150000.00,-37.90,-67.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
34378125000.00,-39.20,-78.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
34503100000.00,-40.00,-95.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
34628075000.00,-41.40,-112.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
34753050000.00,-41.60,-130.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
34878025000.00,-41.40,-144.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
35003000000.00,-40.40,-162.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
35127975000.00,-39.30,-178.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
35252950000.00,-37.60,168.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
35377925000.00,-36.50,156.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
35502900000.00,-35.10,144.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
35627875000.00,-33.90,136.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
35752850000.00,-33.10,130.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
35877825000.00,-32.10,124.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
36002800000.00,-31.10,119.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
36127775000.00,-30.40,114.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
36252750000.00,-29.40,108.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
36377725000.00,-28.50,103.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
36502700000.00,-27.90,97.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
36627675000.00,-27.30,92.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
36752650000.00,-26.70,87.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
36877625000.00,-26.30,83.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
37002600000.00,-25.90,78.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
37127575000.00,-25.60,73.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
37252550000.00,-25.20,69.00,-200.00,45.00,-200.00,45.00,-200.00,45.00
37377525000.00,-25.00,64.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
37502500000.00,-24.70,59.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
37627475000.00,-24.50,54.20,-200.00,45.00,-200.00,45.00,-200.00,45.00
37752450000.00,-24.20,49.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
37877425000.00,-23.90,44.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
38002400000.00,-23.70,39.40,-200.00,45.00,-200.00,45.00,-200.00,45.00
38127375000.00,-23.50,33.90,-200.00,45.00,-200.00,45.00,-200.00,45.00
38252350000.00,-23.40,29.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
38377325000.00,-23.20,24.60,-200.00,45.00,-200.00,45.00,-200.00,45.00
38502300000.00,-23.10,19.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
38627275000.00,-23.00,14.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
38752250000.00,-22.90,9.27,-200.00,45.00,-200.00,45.00,-200.00,45.00
38877225000.00,-22.80,3.64,-200.00,45.00,-200.00,45.00,-200.00,45.00
39002200000.00,-22.80,-1.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
39127175000.00,-22.70,-6.84,-200.00,45.00,-200.00,45.00,-200.00,45.00
39252150000.00,-22.70,-13.20,-200.00,45.00,-200.00,45.00,-200.00,45.00
39377125000.00,-22.80,-18.80,-200.00,45.00,-200.00,45.00,-200.00,45.00
39502100000.00,-22.90,-24.50,-200.00,45.00,-200.00,45.00,-200.00,45.00
39627075000.00,-22.90,-30.20,-200.00,45.00,-200.00,45.00,-200.00,45.00
39752050000.00,-23.00,-36.10,-200.00,45.00,-200.00,45.00,-200.00,45.00
39877025000.00,-23.00,-42.10,-200.00,45.00,-200.00,45.00,-200.00,45.00
40002000000.00,-22.90,-47.70,-200.00,45.00,-200.00,45.00,-200.00,45.00
40126975000.00,-22.80,-53.30,-200.00,45.00,-200.00,45.00,-200.00,45.00
